Date,TLT,IEF,SHY,HYG,LQD,JNK,GLD,SLV,USO,UNG,UUP,FXE,FXB,FXY,EEM,EWJ,FXI,EWZ,VNQ,XLF,XLK,XLE,XLV,XLU,DBA,COPX
2020-02-19,121.46747589111328,97.80550384521484,73.89012908935547,63.465126037597656,105.10733032226562,76.42858123779297,151.7899932861328,17.229999542236328,89.44000244140625,61.119998931884766,23.19913101196289,97.3674087524414,114.28382110595703,85.33999633789062,38.729801177978516,50.34169006347656,37.04269027709961,29.00060272216797,77.36014556884766,27.68743896484375,48.752532958984375,21.146934509277344,94.03238677978516,28.89923095703125,14.16312313079834,16.117950439453125
2020-02-20,122.41901397705078,98.08995819091797,73.90750122070312,63.572967529296875,105.460205078125,76.53277587890625,152.41000366210938,17.139999389648438,90.23999786376953,59.63999938964844,23.268102645874023,97.20565795898438,113.90978240966797,84.69999694824219,38.12561798095703,50.017635345458984,36.65019607543945,28.29390525817871,78.28271484375,27.634075164794922,48.24503707885742,21.123807907104492,93.42681884765625,29.00213050842285,14.07487964630127,15.933996200561523
2020-02-21,123.56240844726562,98.48648834228516,73.9684066772461,63.51545715332031,105.66873931884766,76.45636749267578,154.6999969482422,17.280000686645508,89.27999877929688,59.20000076293945,23.130163192749023,97.72897338867188,114.62139892578125,85.01000213623047,37.90670394897461,49.597251892089844,36.65019607543945,28.042940139770508,78.5113754272461,27.367252349853516,47.16365051269531,20.873199462890625,93.48104858398438,28.948633193969727,14.092527389526367,15.662444114685059
2020-02-24,125.40702819824219,99.25370025634766,74.09017944335938,62.83232879638672,105.68479919433594,75.62979888916016,156.08999633789062,17.399999618530273,85.91999816894531,57.439998626708984,23.13878631591797,97.72897338867188,114.3294677734375,85.66999816894531,36.488155364990234,47.92444610595703,35.3505973815918,26.642772674560547,77.43899536132812,26.47783851623535,45.21430587768555,19.909347534179688,90.53462982177734,28.611101150512695,13.810148239135742,14.900345802307129
2020-02-25,126.07478332519531,99.52955627441406,74.16848754882812,62.3936882019043,105.7890396118164,75.03253173828125,153.3000030517578,16.709999084472656,83.19999694824219,57.119998931884766,23.0698184967041,97.98591613769531,114.986328125,86.1500015258789,36.19919204711914,47.84562301635742,35.01044464111328,26.26630973815918,75.34159088134766,25.579530715942383,43.7677116394043,19.030305862426758,87.78704833984375,28.010156631469727,13.801323890686035,14.497396469116211
2020-02-26,125.40702819824219,99.4778060913086,74.22069549560547,62.458396911621094,105.39607238769531,75.1158676147461,153.97000122070312,16.68000030517578,81.5199966430664,56.36000061035156,23.087060928344727,98.00493621826172,114.1926040649414,85.88999938964844,36.488155364990234,48.08209228515625,35.516326904296875,25.889850616455078,74.5294189453125,25.39275550842285,43.966915130615234,18.455856323242188,87.77800750732422,27.72614288330078,13.73955249786377,14.374759674072266
2020-02-27,126.76747131347656,99.96054077148438,74.30765533447266,61.61710739135742,104.83464050292969,74.05323028564453,154.0,16.469999313354492,78.23999786376953,53.880001068115234,22.949125289916992,98.98494720458984,114.02838897705078,86.37000274658203,35.61250686645508,46.43556594848633,35.245933532714844,24.952007293701172,70.56324005126953,24.30767059326172,41.595462799072266,17.4688720703125,84.7954330444336,26.47895622253418,13.545417785644531,13.840415000915527
2020-02-28,129.63038635253906,101.08118438720703,74.57737731933594,61.86878204345703,106.01362609863281,74.29629516601562,148.3800048828125,15.529999732971191,75.5999984741211,52.400001525878906,22.871536254882812,99.43216705322266,113.40802001953125,87.93000030517578,35.481163024902344,46.38301467895508,35.4639892578125,25.33506965637207,68.86006927490234,23.649507522583008,41.913230895996094,17.453447341918945,83.70184326171875,25.593992233276367,13.457173347473145,13.665221214294434
2020-03-02,128.67666625976562,101.01214599609375,74.54688262939453,62.33823776245117,105.90826416015625,74.94800567626953,149.1999969482422,15.5600004196167,79.36000061035156,54.31999969482422,22.750839233398438,100.25048065185547,112.91537475585938,87.5,36.25173568725586,46.969810485839844,35.830322265625,26.015338897705078,71.80120086669922,24.85910415649414,44.33686828613281,18.158994674682617,87.6243667602539,27.100486755371094,13.616011619567871,14.068169593811035
2020-03-03,130.6743621826172,102.18589782714844,74.84304809570312,62.07099151611328,107.11451721191406,74.64801025390625,153.88999938964844,16.020000457763672,79.12000274658203,55.720001220703125,22.656009674072266,100.67865753173828,113.30766296386719,88.51000213623047,36.006553649902344,46.365501403808594,35.603546142578125,25.42092514038086,71.6356201171875,23.925222396850586,42.65312957763672,17.603809356689453,85.44619750976562,26.76708221435547,13.704256057739258,13.779095649719238
2020-03-04,129.28677368164062,101.96151733398438,74.85176849365234,62.92327880859375,107.26730346679688,75.6388168334961,154.16000366210938,16.09000015258789,78.87999725341797,56.7599983215332,22.733598709106445,100.29804229736328,113.85505676269531,88.29000091552734,36.64577102661133,47.372684478759766,35.98731231689453,25.612455368041992,74.34020233154297,24.7168025970459,44.48389434814453,18.02019500732422,90.3719482421875,28.285938262939453,13.616011619567871,13.998089790344238
2020-03-05,132.50503540039062,102.86771392822266,75.00858306884766,62.128787994384766,107.22711181640625,74.66193389892578,157.49000549316406,16.299999237060547,76.87999725341797,54.599998474121094,22.561180114746094,101.11631774902344,114.63052368164062,89.4800033569336,35.875205993652344,46.51438522338867,35.830322265625,24.212295532226562,72.74740600585938,23.524986267089844,43.07999801635742,17.360918045043945,88.27510070800781,27.849620819091797,13.439523696899414,13.673979759216309
2020-03-06,139.40110778808594,103.91202545166016,75.09568786621094,61.428199768066406,107.97498321533203,73.7129135131836,157.5500030517578,16.18000030517578,69.83999633789062,53.279998779296875,22.43186378479004,101.80140686035156,115.2508773803711,89.94999694824219,35.13966369628906,46.06772232055664,35.11510467529297,23.181982040405273,71.49366760253906,22.724515914916992,42.16936111450195,16.3855037689209,87.80514526367188,27.623233795166016,13.263036727905273,13.227231979370117
2020-03-09,143.1793212890625,104.8441162109375,75.50516510009766,58.78471374511719,105.35342407226562,70.27991485595703,157.80999755859375,15.880000114440918,52.15999984741211,56.400001525878906,22.190475463867188,103.10497283935547,115.8712387084961,92.7300033569336,32.740394592285156,43.720542907714844,33.70212936401367,19.674968719482422,65.98204040527344,20.287521362304688,38.9678840637207,13.085269927978516,83.24087524414062,26.120853424072266,13.033602714538574,11.527840614318848
2020-03-10,135.84019470214844,102.91949462890625,75.17408752441406,59.68754196166992,102.98110961914062,71.4591293334961,154.47999572753906,15.729999542236328,57.91999816894531,59.880001068115234,22.518075942993164,101.73481750488281,114.15608978271484,89.97000122070312,34.40412139892578,45.025508880615234,35.03660583496094,21.669544219970703,68.76970672607422,21.479333877563477,41.56700134277344,13.705989837646484,86.096923828125,26.36370849609375,13.245388984680176,12.386296272277832
2020-03-11,130.8415985107422,101.89249420166016,75.08699035644531,58.38747787475586,99.5955810546875,69.88216400146484,153.92999267578125,15.630000114440918,55.52000045776367,58.15999984741211,22.55255889892578,101.45887756347656,113.27119445800781,90.68000030517578,32.80168533325195,43.5015869140625,33.8416862487793,19.60231590270996,64.63746643066406,20.314207077026367,39.60342025756836,12.981169700622559,82.80706024169922,25.038320541381836,13.09537410736084,11.422722816467285
