,finbert_sentiment,finbert_uncertainty,finbert_neg_ratio,finbert_pos_ratio,finbert_sentiment_5d,finbert_uncertainty_5d,finbert_sentiment_22d,finbert_uncertainty_22d,finbert_sentiment_mom5d,finbert_sentiment_std22d
2010-06-03,-0.010258486494421959,0.7861543297767639,0.1,0.0,-0.14142407558392733,0.6219956755638123,-0.07701272662961856,0.595705783502622,0.1184509489685297,0.12640673889817505
2010-06-04,0.04652124643325806,0.7878100872039795,0.1,0.0,-0.09101438901852817,0.6333730816841125,-0.07794441699198532,0.5984879630533132,0.25204843282699585,0.12536584682163818
2010-06-07,-0.30584433674812317,0.5137062668800354,0.4,0.1,-0.11840087554883212,0.6631618618965149,-0.08509340621425178,0.5990618880499493,-0.13693243265151978,0.13378643498182052
2010-06-08,-0.04720950871706009,0.6099005937576294,0.2,0.1,-0.12771067582070827,0.6485694408416748,-0.09064390418775888,0.6021906523541971,-0.04654900135938078,0.12929001618877187
2010-06-09,0.014603674411773682,0.5016781091690063,0.1,0.2,-0.060437482222914694,0.6398498773574829,-0.07316866222324526,0.6155907660722733,0.3363659679889679,0.11494009047274854
2010-06-10,-0.03501962870359421,0.7207507491111755,0.1,0.1,-0.06538971066474915,0.6267691612243652,-0.07713141065323725,0.6084122319113124,-0.02476114220917225,0.11187537784920847
2010-06-11,-0.35012286901474,0.5239903330802917,0.5,0.0,-0.14471853375434876,0.5740052103996277,-0.0925974368530495,0.6045051826672121,-0.39664411544799805,0.12489538986973621
2010-06-14,0.08181826770305634,0.8057044148445129,0.0,0.1,-0.06718601286411285,0.6324048399925232,-0.09128800290107558,0.6134078922596845,0.3876626044511795,0.12663359357900492
2010-06-15,-0.019828952848911285,0.8512127995491028,0.0,0.0,-0.06170990169048309,0.6806672811508179,-0.08207837036620318,0.6307026892900467,0.027380555868148804,0.12398094089993093
2010-06-16,-0.4490179419517517,0.42819613218307495,0.6,0.0,-0.15443422496318818,0.6659708857536316,-0.09825057283954018,0.622604794122956,-0.4636216163635254,0.14663903961019797
2010-06-17,-0.06179413944482803,0.5633589029312134,0.2,0.1,-0.15978912711143495,0.6344925165176392,-0.09710083615606312,0.6186155609109185,-0.026774510741233826,0.1468297623350491
2010-06-18,-0.2047433853149414,0.6353482604026794,0.3,0.0,-0.13071323037147523,0.6567641019821167,-0.10177872145273299,0.6129280694506385,0.14537948369979858,0.14861610790052254
2010-06-21,-0.019514935091137886,0.7491729855537415,0.1,0.1,-0.15097987093031406,0.6454578161239624,-0.1043498566194268,0.6227450384335085,-0.10133320279419422,0.14657521518220304
2010-06-22,0.09185473620891571,0.8109868764877319,0.0,0.1,-0.12864313311874867,0.6374126315116883,-0.10430140007520095,0.6350648958574642,0.111683689057827,0.1466429588783651
2010-06-23,0.013908883556723595,0.7608240246772766,0.1,0.1,-0.036057768017053606,0.7039382100105286,-0.10189544512699782,0.648720156062733,0.4629268255084753,0.14819103548807902
2010-06-24,-0.07583087682723999,0.7863925695419312,0.1,0.0,-0.038865115493535995,0.7485449433326721,-0.10208373789315704,0.6556615964932875,-0.014036737382411957,0.14815345347476883
2010-06-25,-0.07692321389913559,0.48791107535362244,0.4,0.2,-0.013301081210374831,0.7190575063228607,-0.10149876334683293,0.6419294652613726,0.12782017141580582,0.14822968249662408
2010-06-28,-0.19888943433761597,0.6661925315856934,0.2,0.0,-0.04917598105967045,0.7024614155292511,-0.1046887632956813,0.6505961404605345,-0.17937449924647808,0.14959205831992892
2010-06-29,0.008202941156923771,0.6754981875419617,0.1,0.1,-0.06590634007006883,0.6753636777400971,-0.09497375749792396,0.648076828230511,-0.08365179505199194,0.1496715804835397
2010-06-30,-0.14778408408164978,0.5985091924667358,0.3,0.0,-0.09824493359774351,0.6429007112979889,-0.0940134020426988,0.6587016839872707,-0.16169296763837337,0.14924173630269058
2010-07-01,-0.08121906965970993,0.751293957233429,0.1,0.0,-0.0993225721642375,0.6358809888362884,-0.09767515487460927,0.661812195723707,-0.00538819283246994,0.14782373019739042
2010-07-02,-0.05985455960035324,0.7676771283149719,0.1,0.0,-0.09590884130448103,0.6918341994285584,-0.08577025787566196,0.6719213412566618,0.01706865429878235,0.13921315046285335
