,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,recon_error,vae_anomaly,latent_velocity,latent_acceleration,crisis_distance
2008-06-05,0.10007967,-0.050474882,-1.2312865,0.836568,-0.052919284,-0.13089675,0.16088574,-0.120057225,0.28393632,0.33287755,0.08505152,0.046119303,1.3421044
2008-06-06,0.0975513,-0.118632555,-1.294857,0.8516396,-0.0069670603,-0.0846613,-0.049920917,-0.12802337,0.35904932,0.4091983,0.2401509,0.15509938,1.2734374
2008-06-09,0.13242783,-0.10957596,-1.2341233,0.83111596,-0.08464794,0.048058547,-0.08141434,-0.18810505,0.36935085,0.41999254,0.18346311,-0.056687787,1.1908057
2008-06-10,0.1426389,-0.1000942,-1.2348082,0.8095343,-0.083749145,0.096436955,-0.106760755,-0.19985424,0.37574288,0.4266639,0.061499342,-0.12196377,1.1606988
2008-06-11,0.14213951,-0.11454527,-1.2545712,0.81286705,-0.053797293,0.14695841,-0.17188859,-0.21307334,0.39249602,0.44401395,0.092068866,0.030569524,1.1462102
2008-06-12,0.15550055,-0.09339827,-1.1898798,0.7844542,-0.07533996,0.16364133,-0.17103218,-0.23734939,0.39924452,0.45034903,0.083369344,-0.008699521,1.0885985
2008-06-13,0.13961194,-0.08383387,-1.1459583,0.7468747,-0.06960064,0.15793169,-0.16982353,-0.23577946,0.39055997,0.44103497,0.06127567,-0.022093676,1.0367866
2008-06-16,0.14385517,-0.054221287,-1.0846398,0.6875701,-0.08209285,0.12145809,-0.17087173,-0.23484012,0.38503966,0.4348383,0.09828664,0.037010975,0.96116847
2008-06-17,0.13763736,-0.04961969,-1.0800358,0.6832694,-0.0641375,0.12030966,-0.1937914,-0.23541334,0.38164297,0.43143892,0.030803926,-0.06748272,0.9421298
2008-06-18,0.1389157,-0.05414018,-1.0745027,0.6619022,-0.06298639,0.12603277,-0.22827728,-0.2401278,0.3792527,0.42917058,0.041890595,0.011086669,0.9107658
2008-06-19,0.1359709,-0.042110175,-1.0551913,0.66384995,-0.071101785,0.15195617,-0.237433,-0.2502358,0.37029737,0.42012984,0.03813134,-0.0037592538,0.89315885
2008-06-20,0.13396154,-0.06288344,-1.0852399,0.6648042,-0.03534992,0.16422263,-0.30607468,-0.26382005,0.38072795,0.43115363,0.08754581,0.04941447,0.88676775
2008-06-23,0.13948213,-0.05023341,-1.0609778,0.6324525,-0.07966176,0.22120905,-0.3109002,-0.2775495,0.38486168,0.43508017,0.08513846,-0.0024073496,0.8509605
2008-06-24,0.1430852,-0.0307796,-1.0343487,0.62140167,-0.05837672,0.20930502,-0.335234,-0.2895683,0.3743722,0.42470574,0.050537165,-0.034601297,0.8143943
2008-06-25,0.13732527,-0.013268366,-1.0008204,0.59793687,-0.046094313,0.20835006,-0.3484848,-0.30356315,0.36743593,0.4175915,0.050376333,-0.00016083196,0.77157176
2008-06-26,0.12153302,-0.06267679,-1.0762705,0.60371757,0.008744165,0.2356621,-0.48416328,-0.31097057,0.3959216,0.44729522,0.1750241,0.124647774,0.7947429
2008-06-27,0.13690068,-0.048066914,-1.0174885,0.5580224,-0.047774713,0.31803235,-0.5256246,-0.34678793,0.3804218,0.43234423,0.13774668,-0.03727743,0.7352061
2008-06-30,0.12672101,-0.08676493,-1.0717362,0.5536554,-0.01522889,0.47350472,-0.750483,-0.34921294,0.39577803,0.44938087,0.28348038,0.1457337,0.8166666
2008-07-01,0.14756475,-0.006147057,-0.9974064,0.4710342,-0.029230043,0.39964005,-0.702612,-0.37762737,0.3908571,0.44442123,0.16743928,-0.116041094,0.67913455
2008-07-02,0.12283756,-0.0684392,-1.047998,0.45141408,0.024784043,0.5676786,-1.010885,-0.38935536,0.42861223,0.4860848,0.3657328,0.1982935,0.86659044
2008-07-03,0.12925036,-0.047959626,-0.9976942,0.35145736,-0.021972224,0.644991,-1.1074727,-0.41974965,0.44080603,0.49906713,0.17719677,-0.18853602,0.8892478
2008-07-07,0.1373613,-0.01563932,-0.94435227,0.2622284,0.009046175,0.6713064,-1.256798,-0.4420925,0.45972234,0.52102,0.19070782,0.013511047,0.9462274
2008-07-08,0.112524316,0.016179264,-0.903194,0.19441138,0.022957742,0.72542566,-1.3718374,-0.47616833,0.47069487,0.5342889,0.1594995,-0.031208321,1.0289471
2008-07-09,0.1156532,0.016723841,-0.87664896,0.1257187,0.041767284,0.72693133,-1.4806051,-0.48008108,0.49338883,0.559839,0.13279763,-0.026701868,1.0996745
2008-07-10,0.10593437,0.024042413,-0.84134865,0.062065378,0.00072997063,0.8333575,-1.6014345,-0.4814418,0.4972808,0.5666618,0.18181874,0.04902111,1.234248
2008-07-11,0.09409101,0.049029723,-0.7820458,-0.014622733,0.0115616545,0.90124214,-1.7649395,-0.47505862,0.50596184,0.5801386,0.20411474,0.022295997,1.387205
2008-07-14,0.056389466,0.06371312,-0.72426176,-0.081403255,-0.0053946376,1.0142264,-1.9344256,-0.44833675,0.51295024,0.5918789,0.22787757,0.023762837,1.5745202
2008-07-15,0.0281602,0.08801903,-0.66068226,-0.13794154,-0.00752943,1.0710032,-2.0366225,-0.43142182,0.5275174,0.6095497,0.15028335,-0.07759422,1.6857398
2008-07-16,-0.0060175806,0.10250537,-0.64920884,-0.19115525,0.0032920241,1.0915185,-2.071643,-0.44467115,0.5357443,0.6191334,0.079254545,-0.071028806,1.7342479
2008-07-17,-0.024149433,0.112185046,-0.59653574,-0.23757151,-0.0066001043,1.09422,-2.09017,-0.40767246,0.5283813,0.6117985,0.08466806,0.0054135174,1.7524726
2008-07-18,-0.048020944,0.12588109,-0.57696456,-0.23707092,-0.02150686,1.1161937,-2.0936642,-0.36371747,0.52298725,0.60532445,0.061563097,-0.023104966,1.7614148
2008-07-21,-0.05255942,0.21784455,-0.5089471,-0.25534287,-0.028251529,1.0001572,-1.9440248,-0.32342845,0.48333728,0.5623932,0.22575031,0.16418722,1.5780003
2008-07-22,-0.057625994,0.2610169,-0.4449847,-0.24055275,0.005961299,0.9179949,-1.8620245,-0.3348852,0.49087074,0.56846935,0.14483066,-0.08091965,1.4728185
2008-07-23,-0.027386174,0.2690677,-0.39613912,-0.24289963,-0.0128410235,0.79575264,-1.7038627,-0.33095464,0.50161594,0.57541025,0.20904064,0.06420998,1.2883688
2008-07-24,-0.024455175,0.2676115,-0.4117509,-0.26470825,0.020174623,0.8237537,-1.7870319,-0.36129624,0.5059341,0.58246094,0.10218552,-0.106855124,1.3780835
2008-07-25,-0.03217052,0.25558263,-0.40479177,-0.2303023,-0.019992433,0.8540938,-1.7552162,-0.34481797,0.51187915,0.5876044,0.07248517,-0.029700346,1.3550625
2008-07-28,-0.039163843,0.18978101,-0.45315883,-0.22017416,0.02841033,0.9719199,-1.9489992,-0.37150288,0.5122389,0.59188354,0.24760945,0.17512429,1.5696881
2008-07-29,-0.053519472,0.2654341,-0.41218835,-0.24238566,0.0075380355,0.8976634,-1.8397925,-0.35936022,0.5199464,0.59746814,0.16163112,-0.08597833,1.4510247
2008-07-30,-0.051320925,0.27976272,-0.3742027,-0.25163275,0.0014419854,0.8507147,-1.7781745,-0.35163385,0.5316813,0.60801333,0.08852331,-0.07310781,1.3847196
2008-07-31,-0.046642706,0.20324787,-0.40877283,-0.23545292,0.020580873,0.9444982,-1.920969,-0.3580778,0.5401696,0.6190628,0.19216326,0.103639945,1.5386527
2008-08-01,-0.057981268,0.2671987,-0.37603286,-0.25443342,-0.014340244,0.9006289,-1.8550951,-0.31592113,0.5456152,0.6236208,0.12211054,-0.07005272,1.467638
2008-08-04,-0.061865047,0.19368611,-0.42654878,-0.22741163,0.007991739,1.000056,-1.9841046,-0.32350045,0.55363166,0.6338733,0.18917342,0.06706288,1.6117554
2008-08-05,-0.07669373,0.281501,-0.36814386,-0.27106398,0.014500596,0.91152525,-1.8867207,-0.32860732,0.5725718,0.65148497,0.17503653,-0.014136881,1.5076455
2008-08-06,-0.051323876,0.29423112,-0.3044744,-0.27271387,-0.022631511,0.7942572,-1.7364147,-0.31321144,0.5952513,0.6709366,0.20693406,0.03189753,1.3383124
2008-08-07,-0.04225351,0.29271793,-0.31385222,-0.2959627,-0.004376672,0.7779758,-1.7485864,-0.32857043,0.60284007,0.67952263,0.041175064,-0.165759,1.3472509
2008-08-08,-0.037073,0.29742306,-0.30570674,-0.2883274,0.0029387996,0.7569369,-1.7429969,-0.35512897,0.6041209,0.68105966,0.03750163,-0.0036734343,1.3360909
2008-08-11,-0.027004138,0.29482058,-0.29389283,-0.26306263,-0.0235501,0.7106624,-1.6737398,-0.3403097,0.6202986,0.6955782,0.09351569,0.056014057,1.2518239
2008-08-12,-0.010465279,0.28403038,-0.32452542,-0.26469377,-0.019857757,0.6956185,-1.6565936,-0.3534459,0.6161557,0.69098157,0.04513849,-0.048377197,1.2261006
2008-08-13,-0.006486729,0.27518615,-0.33980256,-0.23222497,-0.029711224,0.70440567,-1.6502354,-0.3480652,0.6248598,0.69949603,0.04031558,-0.00482291,1.2105314
2008-08-14,0.0075283796,0.28609177,-0.33472678,-0.19840714,-0.024962008,0.64747125,-1.5469087,-0.37042078,0.6138569,0.6860752,0.12619439,0.085878804,1.0974077
2008-08-15,0.03241743,0.27999395,-0.3460403,-0.17117271,-0.030487768,0.55226874,-1.3835543,-0.3804726,0.61237186,0.6806679,0.1934066,0.06721221,0.9179216
2008-08-18,0.06426184,0.25933176,-0.41992486,-0.16046003,-0.0057459027,0.53378487,-1.3861121,-0.4310969,0.59178466,0.6602211,0.10265406,-0.090752535,0.90634525
2008-08-19,0.066680506,0.23198727,-0.47141904,-0.122592434,-0.02265834,0.5645752,-1.3741326,-0.4382949,0.571313,0.63941306,0.0791743,-0.02347976,0.89155966
2008-08-20,0.06589289,0.23576438,-0.4623651,-0.08742373,-0.022733003,0.52281946,-1.324127,-0.4400808,0.55426884,0.62069917,0.07470611,-0.004468195,0.82626045
2008-08-21,0.073324695,0.23844919,-0.46317405,-0.04579337,-0.016509637,0.44719523,-1.2216039,-0.43940112,0.5392766,0.60289943,0.13440752,0.059701413,0.7045038
2008-08-22,0.072754726,0.2291839,-0.48372728,0.005772233,0.0033553317,0.38418946,-1.1173518,-0.4457247,0.5098555,0.5707181,0.13579561,0.0013880879,0.5885854
2008-08-25,0.096673265,0.18981707,-0.57698613,0.026873022,0.022193655,0.37184626,-1.1534023,-0.47901696,0.47089896,0.53198224,0.11907794,-0.016717665,0.62155056
2008-08-26,0.08651306,0.17910294,-0.5930603,0.08271572,-0.010732539,0.39643133,-1.1083508,-0.46047044,0.42573455,0.48571157,0.08750421,-0.031573735,0.57679766
2008-08-27,0.08722232,0.182464,-0.60121953,0.112694606,0.0014454722,0.36247864,-1.0408413,-0.4557565,0.39252043,0.4510516,0.08281267,-0.004691541,0.51103646
2008-08-28,0.09045164,0.17126684,-0.62891084,0.15034488,0.0187127,0.32917684,-0.97684664,-0.4554035,0.37776628,0.4348607,0.08844643,0.005633764,0.4605516
2008-08-29,0.09832932,0.1381609,-0.6961467,0.17906001,0.0140557885,0.3324927,-0.9843617,-0.44757187,0.35922584,0.41618547,0.081570685,-0.006875746,0.48187348
2008-09-02,0.12231599,0.12654723,-0.74415976,0.1940757,-0.0046915337,0.35373282,-1.0406727,-0.4645992,0.36534086,0.42401534,0.08662804,0.0050573573,0.55507416
