,vol_forecast_22d,vol_forecast_5d,vol_forecast_adaptive,har_rv_forecast,actual_rv_22d,actual_rv_5d,spike_label,vix_level,implied_vol,rv_1d,rv_5d,rv_22d,ci_lower_conformal,ci_upper_conformal,ci_lower_quantile,ci_upper_quantile,ci_width_conformal,ci_width_quantile,shock_score,effective_horizon,regime,regime_code,vol_spread,vol_spread_pct,spike_probability,direction,position_size,strategy,recommended_dte,strike_delta,conviction,pnl
2021-08-03,0.1342322323330099,0.1312599621071039,0.13419472431495788,0.11662767917112875,0.0788829937857268,0.055935671744056066,0,18.040000915527344,0.18040000915527343,0.1296941155427368,0.0768519340162827,0.1155334224280064,0.11443170520819482,0.15395774342172094,0.092104785,0.16065882,0.03952603821352613,0.06855404,0.01261931628056209,21.785471623230443,normal,2,-0.04620528484031555,-25.612684310091062,0.49318465387482363,-1,0.33699901071570576,short_strangle,30,0.16,0.6739980214314115,0.03421113375034831
2021-08-04,0.13220187755848742,0.12931990482728567,0.1321702169182081,0.11561114200041614,0.0773101937628468,0.04608856720684926,0,17.969999313354492,0.17969999313354493,0.0737077316975572,0.0836124202906282,0.1138217283073988,0.11240719781144504,0.15193323602497116,0.084480405,0.15661131,0.03952603821352613,0.0721309,0.010985752896455278,21.81324220076026,calm,1,-0.04752977621533683,-26.449514764318792,0.4772160189427655,-1,0.3294688811735053,iron_condor,30,0.16,0.6589377623470106,0.03373425264224359
2021-08-05,0.11477079741223639,0.09748537044153699,0.11460548558029744,0.11779124213801445,0.0754900036239522,0.03435458967073347,0,17.280000686645508,0.17280000686645508,0.0950483934547934,0.0889378967466028,0.1154084539788414,0.09484246647353439,0.1343685046870605,0.0819637,0.14719327,0.0395260382135261,0.065229565,0.009563653372241169,21.8374178926719,calm,1,-0.05819452128615764,-33.67738366534445,0.33867131277618073,-1,0.446074731379576,iron_condor,30,0.16,0.892149462759152,0.04340753355694514
2021-08-06,0.12442233889962391,0.08787675303156094,0.12411807336811409,0.11399576166156782,0.0754094716633012,0.03419096536536239,0,16.149999618530273,0.16149999618530272,0.0265717759428889,0.0810567756422169,0.1149886918607454,0.10435505426135103,0.14388109247487715,0.07938759,0.14100744,0.03952603821352613,0.061619848,0.008325643830373427,21.858464054883655,calm,1,-0.037381922817188634,-23.146701981526466,0.41370341287454,-1,0.30332696381649726,iron_condor,30,0.16,0.6066539276329945,0.02611357741662843
2021-08-09,0.11743359781175024,0.08793077490828496,0.11721976448081849,0.11233099523084587,0.0769451297721528,0.038337198681245,0,16.719999313354492,0.16719999313354492,0.0149275976781867,0.0802701474596257,0.1112913621212581,0.09745674537405544,0.13698278358758154,0.08076247,0.14326136,0.0395260382135261,0.06249889,0.0072478939263344875,21.876785803252314,calm,1,-0.04998022865272643,-29.892482479234637,0.3592918674059263,-1,0.3998489314121606,iron_condor,30,0.16,0.7996978628243212,0.036088310669803204
2021-08-10,0.1074004382693889,0.09171746873081743,0.10730148409297607,0.10567636069460785,0.0812263417775468,0.06285377027705477,0,16.790000915527344,0.16790000915527345,0.0157504796040324,0.0559356717440571,0.1046727222398162,0.08753846498621301,0.12706450319973914,0.077923104,0.14071319,0.03952603821352613,0.06279008,0.006309658140281045,21.89273581161522,calm,1,-0.060598525062297376,-36.092032017851785,0.28105980022676036,-1,0.4825485505745692,iron_condor,30,0.16,0.9650971011491384,0.041824252566104315
2021-08-11,0.10874288471991582,0.08573022441802006,0.10861647902013248,0.10377136675698109,0.0814759287178656,0.09876525009384017,0,16.170000076293945,0.16170000076293944,0.0202388977122359,0.0460885672068503,0.1041106928021405,0.08885345991336943,0.12837949812689553,0.07628076,0.13659813,0.0395260382135261,0.060317367,0.005492876448227639,21.906621100380132,calm,1,-0.05308352174280696,-32.82839919130869,0.2914320389071332,-1,0.44003513503273056,iron_condor,30,0.16,0.8800702700654611,0.035301410375229575
2021-08-12,0.1064669342730093,0.0826969815176804,0.10635327047859604,0.10305797123036384,0.0825994373428048,0.09471614946145118,0,15.59000015258789,0.1559000015258789,0.0656856614464552,0.0343545896707352,0.1043694662735044,0.08659025137183299,0.1261162895853591,0.07662039,0.13808002,0.0395260382135261,0.061459623,0.004781826686120584,21.91870894633595,calm,1,-0.04954673104728287,-31.781097217666332,0.2735806094517841,-1,0.4030835889102633,iron_condor,30,0.16,0.8061671778205266,0.029546254480060614
2021-08-13,0.10165885825797566,0.08724219748299643,0.10159884426655777,0.10177610035885208,0.0872280986750969,0.11024937853771133,0,15.449999809265137,0.15449999809265136,0.0254947187200364,0.034190965365364,0.1044366004162572,0.0818358251597947,0.12136186337332083,0.07274121,0.13670851,0.03952603821352613,0.0639673,0.0041628219151867134,21.929232027441827,calm,1,-0.05290115382609359,-34.24022943635867,0.23607929105041175,-1,0.4135015219251512,iron_condor,30,0.16,0.8270030438503024,0.027817032791954462
2021-08-16,0.10649237188863436,0.0873650861303186,0.10642305561949689,0.10300744087059235,0.0869360116873921,0.12425973497943538,0,16.1200008392334,0.16120000839233398,0.0415502902876873,0.0383371986812466,0.1042265649362735,0.08666003651273382,0.12618607472625995,0.07942153,0.14381209,0.03952603821352613,0.06439056,0.0036239469631672437,21.93839290162616,calm,1,-0.05477695277283709,-33.98073816442931,0.274131051223702,-1,0.4253492333937621,iron_condor,30,0.16,0.8506984667875243,0.031588134067203906
2021-08-17,0.1019766423656885,0.10630066917039573,0.10199028393115205,0.10979356734432917,0.0891196816741382,0.11411660003083152,0,17.90999984741211,0.17909999847412109,0.1124826910432665,0.0628537702770562,0.1038380014993557,0.082227264824389,0.1217533030379151,0.077535495,0.1405462,0.0395260382135261,0.06301071,0.0031548290701405223,21.946367905807612,calm,1,-0.07710971454296904,-43.054000669972616,0.23916683575974126,-1,0.611877866519036,iron_condor,30,0.16,1.223755733038072,0.055056964272280504
2021-08-18,0.10912922171493122,0.135860978046981,0.10920263883231927,0.11601693550099307,0.0998152456755783,0.08593349194621636,0,21.56999969482422,0.21569999694824218,0.1715502956013092,0.0987652500938412,0.0958584961661588,0.08943961972555622,0.12896565793908232,0.09797321,0.15369786,0.0395260382135261,0.05572465,0.0027464382241138194,21.953310550190064,normal,2,-0.10649735811592291,-49.37290664008551,0.29605547079366606,-1,0.9555677507917609,short_strangle,30,0.16,1.9111355015835219,0.11073573112468209
2021-08-19,0.11654103468534524,0.11822102355685839,0.11654505139315433,0.10594064172797338,0.0997626252503533,0.09500073532326062,0,21.670000076293945,0.21670000076293947,0.0199368461192847,0.0947161494614521,0.0813194130030527,0.09678203228639126,0.1363080704999174,0.09820967,0.1565564,0.03952603821352613,0.058346726,0.002390913343060292,21.959354473167974,normal,2,-0.10015494936978514,-46.218250584756746,0.3539699570004182,-1,0.8582739447047529,short_strangle,30,0.16,1.7165478894095059,0.10036430256460831
2021-08-20,0.10428212408341436,0.10520065693172623,0.10428403592774974,0.11230094294045044,0.1011320928235749,0.09791300478813286,0,18.559999465942383,0.18559999465942384,0.1287200962490007,0.1102493785377123,0.0812050616386372,0.08452101682098667,0.1240470550345128,0.08490174,0.13410275,0.03952603821352613,0.049201004,0.0020814109575933567,21.96461601372091,normal,2,-0.0813159587316741,-43.81247902559963,0.25725918173839857,-1,0.8263648277313324,short_strangle,30,0.16,1.6527296554626647,0.0698013031494084
2021-08-23,0.10401028710717872,0.0905341784208618,0.10398586875560419,0.1166013808089798,0.1052091419311516,0.08298705582560972,0,17.149999618530273,0.17149999618530273,0.1347375521858368,0.1242597349794365,0.0858659532556564,0.08422284964884114,0.12374888786236724,0.080282815,0.13358939,0.0395260382135261,0.053306572,0.0018119734815836219,21.96919645081308,calm,1,-0.06751412742969855,-39.36683902706955,0.25490733914777114,-1,0.6332626983903432,iron_condor,30,0.16,1.2665253967806864,0.041979525243584705
